Date,Close,High,Low,Open,Volume,kalman_Close,kalman_High,kalman_Low,kalman_Open,kalman_Volume
2018-01-01,13657.2001953125,14112.2001953125,13154.7001953125,14112.2001953125,10291200000,14168.345680609884,14735.267418255657,13351.471027316276,14194.442481596596,15031209479.405512
2018-01-02,14982.099609375,15444.599609375,13163.599609375,13625.0,16846600192,14178.568590315832,14747.72876271452,13355.406443956352,14196.087327322277,15126009668.993622
2018-01-03,15201.0,15572.7998046875,14844.5,14978.2001953125,16871900160,14180.756189831189,14753.221398706777,13361.259928942241,14203.443046321181,15203603953.351667
2018-01-04,15599.2001953125,15739.7001953125,14522.2001953125,15270.7001953125,21783199744,14172.741351244857,14750.518250639228,13352.281013217553,14203.051193830173,15264515275.64323
2018-01-05,17429.5,17705.19921875,15202.7998046875,15477.2001953125,23840899072,14150.461924217849,14737.923283124946,13331.602905671914,14191.982851324341,15260239753.251226
2018-01-06,17527.0,17712.400390625,16764.599609375,17462.099609375,18314600448,14095.392116433019,14695.655556254414,13292.21282913612,14168.062335378627,15170157637.671734
2018-01-07,16477.599609375,17579.599609375,16087.7001953125,17527.30078125,15866000384,14006.00622981252,14623.220381040177,13218.098884797937,14111.20144669295,15048631093.988958
2018-01-08,15170.099609375,16537.900390625,14208.2001953125,16476.19921875,18413899776,13891.904409396395,14521.221413542591,13115.288927354608,14020.179564661703,14918930857.406073
2018-01-09,14595.400390625,15497.5,14424.0,15123.7001953125,16659999744,13765.020636980484,14399.05565627418,13001.549857231701,13904.597486089573,14754280931.637247
2018-01-10,14973.2998046875,14973.2998046875,13691.2001953125,14588.5,18500800512,13629.833067028128,14265.90545556851,12873.58628568111,13776.824380425212,14570573817.744795
2018-01-11,13405.7998046875,15018.7998046875,13105.900390625,14968.2001953125,16534099968,13481.21082969918,14125.681311371653,12737.446575034208,13640.934518565105,14347564436.90979
2018-01-12,13980.599609375,14229.900390625,13158.099609375,13453.900390625,12065699840,13333.342702620346,13976.525982241636,12597.622326231396,13491.771999937524,14102689700.763884
2018-01-13,14360.2001953125,14659.5,13952.400390625,13952.400390625,12763599872,13179.002006473967,13824.836909027785,12452.19330459715,13342.988197403069,13878184863.225616
2018-01-14,13772.0,14511.7998046875,13268.0,14370.7998046875,11084099584,13012.849328439203,13664.801204904212,12291.762212102623,13188.110272936394,13664825875.599606
2018-01-15,13819.7998046875,14445.5,13641.7001953125,13767.2998046875,12750799872,12839.10514368883,13496.295514782807,12121.568741729123,13021.405453152207,13477274150.889591
2018-01-16,11490.5,13843.099609375,10194.900390625,13836.099609375,18853799936,12655.554012328472,13318.297779809229,11936.173956819788,12847.241689852668,13296987168.968472
2018-01-17,11188.599609375,11678.0,9402.2900390625,11431.099609375,18830600192,12483.653421091398,13135.052026539994,11768.191907572402,12663.189347357906,13061132059.377037
2018-01-18,11474.900390625,12107.2998046875,10942.5,11198.7998046875,15020399616,12324.703367971488,12966.37679353616,11623.868877010114,12491.457902242972,12767582268.459373
2018-01-19,11607.400390625,11992.7998046875,11172.099609375,11429.7998046875,10740400128,12174.251344625043,12806.29233042081,11486.359535217927,12332.653038103594,12451504304.066303
2018-01-20,12899.2001953125,13103.0,11656.2001953125,11656.2001953125,11801700352,12029.467830818598,12654.342792562795,11351.99279268417,12182.876706298375,12152537381.433895
2018-01-21,11600.099609375,12895.900390625,11288.2001953125,12889.2001953125,9935179776,11875.986993367213,12497.906682630408,11214.58397612413,12038.367139603015,11857078829.095827
2018-01-22,10931.400390625,11966.400390625,10240.2001953125,11633.099609375,10537400320,11725.26502975575,12337.490635618075,11076.438997372205,11885.349242350561,11580839267.288717
2018-01-23,10868.400390625,11377.599609375,10129.7001953125,10944.5,9660609536,11582.481712535595,12180.785491055673,10946.656406640877,11734.853841427863,11315034094.954494
2018-01-24,11359.400390625,11501.400390625,10639.7998046875,10903.400390625,9940989952,11446.839208534546,12032.112205310077,10825.043378022834,11592.261978919443,11065773168.209816
2018-01-25,11259.400390625,11785.7001953125,11057.400390625,11421.7001953125,8873169920,11312.071092712593,11888.746037711333,10705.282785138144,11456.558732293968,10827760073.627237
2018-01-26,11171.400390625,11656.7001953125,10470.2998046875,11256.0,9746199552,11177.829683911516,11746.410328536576,10582.001016198585,11321.204071038308,10609292880.580929
2018-01-27,11440.7001953125,11614.900390625,10989.2001953125,11174.900390625,7583269888,11043.652568043304,11604.97172069406,10459.836259374137,11186.50145049303,10399456620.82043
2018-01-28,11786.2998046875,12040.2998046875,11475.2998046875,11475.2998046875,8350360064,10905.5049759024,11463.433826152235,10332.377863190304,11051.914840546431,10217782228.388138
2018-01-29,11296.400390625,11875.599609375,11179.2001953125,11755.5,7107359744,10758.549435473646,11316.127271825058,10193.4902475915,10913.094380958422,10054782057.599726
2018-01-30,10106.2998046875,11307.2001953125,10036.2001953125,11306.7998046875,8637859840,10606.215385493377,11163.225994122382,10044.745532515488,10765.849865179998,9921256109.947311
2018-01-31,10221.099609375,10381.599609375,9777.419921875,10108.2001953125,8041160192,10458.880491321168,11008.884974407803,9896.086270811506,10613.1958500065,9800564124.99437
2018-02-01,9170.5400390625,10288.7998046875,8812.2802734375,10237.2998046875,9959400448,10313.92340596842,10860.816808343554,9748.613672596886,10465.59179137994,9697466179.371372
2018-02-02,8830.75,9142.2802734375,7796.490234375,9142.2802734375,12726899712,10180.400154284733,10718.468812315865,9610.504408373861,10320.270652620306,9591748891.062088
2018-02-03,9174.91015625,9430.75,8251.6298828125,8852.1201171875,7263790080,10060.373404143891,10591.88270167696,9490.535285890826,10186.7294176525,9454680094.543425
2018-02-04,8277.009765625,9334.8701171875,8031.22021484375,9175.7001953125,7073549824,9949.20128648199,10476.907918054823,9382.955217438574,10066.534275689342,9339520198.170195
2018-02-05,6955.27001953125,8364.83984375,6756.68017578125,8270.5400390625,9285289984,9854.751084028658,10373.353512441361,9288.892499012269,9955.247474529955,9247020005.538668
2018-02-06,7754.0,7850.7001953125,6048.259765625,7051.75,13999800320,9789.2956922203,10289.884243514813,9220.151903818274,9860.807747725243,9154137113.122528
2018-02-07,7621.2998046875,8509.1103515625,7236.7900390625,7755.490234375,9169280000,9744.193257334144,10230.806815070286,9183.130230006213,9794.458598397781,9012797588.637613
2018-02-08,8265.58984375,8558.76953125,7637.85986328125,7637.85986328125,9346750464,9720.319756974455,10188.946351260838,9165.571958103588,9748.499132710549,8869893240.039074
2018-02-09,8736.98046875,8736.98046875,7884.7099609375,8271.83984375,6784820224,9710.99355574701,10163.387655651499,9163.290807149187,9723.646059717608,8722220319.200926
2018-02-10,8621.900390625,9122.5498046875,8295.4697265625,8720.080078125,7780960256,9711.407485389536,10152.093031911174,9173.795464656903,9713.311048884345,8593921399.314787
2018-02-11,8129.97021484375,8616.1298828125,7931.10009765625,8616.1298828125,6122189824,9722.716485979709,10151.093840443085,9193.083379545564,9712.908347758674,8473752090.861796
